ds,y
0200-12-10,39528193
1899-12-30,2199183
1899-12-30,29027591
0200-12-10,29812842
1899-12-30,27525886
1899-12-30,67727792
0200-12-10,26725484
1899-12-30,28023377
1899-12-30,48424682
0200-12-10,25915515
1899-12-30,39819966
1899-12-30,38517658
0200-12-10,561441147
1899-12-30,38822474
1899-12-30,1890315
0200-12-10,39528193
1899-12-30,39528193
1899-12-30,29027591
0200-12-10,29812842
1899-12-30,27525886
1899-12-30,67727792
0200-12-10,26725484
1899-12-30,28023377
1899-12-30,48424682
0200-12-10,25915515
1899-12-30,39819966
1899-12-30,38517658
0200-12-10,38517658
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,29027591
1899-12-30,29812842
1899-12-30,27525886
0200-12-10,67727792
1899-12-30,26725484
0200-12-10,28023377
1899-12-30,48424682
1899-12-30,25915515
0200-12-10,39819966
1899-12-30,38517658
1899-12-30,38517658
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,29027591
1899-12-30,29027591
1899-12-30,29027591
0200-12-10,27525886
1899-12-30,27525886
1899-12-30,27525886
0200-12-10,28023377
1899-12-30,48424682
1899-12-30,25915515
0200-12-10,25915515
1899-12-30,38517658
1899-12-30,38517658
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,29027591
1899-12-30,29027591
1899-12-30,29027591
0200-12-10,27525886
1899-12-30,27525886
1899-12-30,27525886
0200-12-10,27525886
1899-12-30,27525886
0200-12-10,25915515
1899-12-30,25915515
1899-12-30,27525886
0200-12-10,29027591
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,27525886
0200-12-10,27525886
1899-12-30,27525886
1899-12-30,27525886
0200-12-10,27525886
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,27525886
0200-12-10,27525886
1899-12-30,27525886
1899-12-30,27525886
0200-12-10,27525886
1899-12-30,27525886
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38517658
0200-12-10,38517658
1899-12-30,38517658
1899-12-30,25915515
0200-12-10,25915515
1899-12-30,25915515
1899-12-30,48424682
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,27525886
0200-12-10,27525886
1899-12-30,29027591
1899-12-30,29027591
0200-12-10,29027591
1899-12-30,38517658
1899-12-30,38517658
0200-12-10,38517658
1899-12-30,25915515
1899-12-30,25915515
0200-12-10,25915515
1899-12-30,48424682
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,29027591
1899-12-30,29027591
0200-12-10,29027591
1899-12-30,29027591
1899-12-30,29027591
0200-12-10,29027591
1899-12-30,29027591
1899-12-30,29027591
0200-12-10,29027591
1899-12-30,29027591
1899-12-30,29027591
0200-12-10,29027591
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,48424682
1899-12-30,48424682
1899-12-30,48424682
0200-12-10,48424682
1899-12-30,48424682
0200-12-10,25915515
1899-12-30,25915515
1899-12-30,25915515
0200-12-10,38517658
1899-12-30,38517658
1899-12-30,38517658
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,48424682
1899-12-30,48424682
1899-12-30,48424682
0200-12-10,48424682
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38517658
1899-12-30,38517658
1899-12-30,38517658
0200-12-10,38517658
1899-12-30,38517658
1899-12-30,38517658
0200-12-10,38517658
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,25915515
0200-12-10,48424682
1899-12-30,48424682
1899-12-30,48424682
0200-12-10,28023377
1899-12-30,28023377
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,27525886
1899-12-30,27525886
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29027591
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,38822474
0200-12-10,38822474
1899-12-30,38822474
1899-12-30,38822474
0200-12-10,38517658
1899-12-30,38517658
1899-12-30,38517658
0200-12-10,38517658
1899-12-30,38517658
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,39819966
1899-12-30,39819966
1899-12-30,39819966
0200-12-10,25915515
1899-12-30,25915515
0200-12-10,25915515
1899-12-30,25915515
1899-12-30,25915515
0200-12-10,25915515
1899-12-30,48424682
1899-12-30,48424682
0200-12-10,48424682
1899-12-30,48424682
1899-12-30,48424682
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,26725484
1899-12-30,26725484
1899-12-30,26725484
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,28023377
1899-12-30,28023377
0200-12-10,28023377
1899-12-30,67727792
0200-12-10,67727792
1899-12-30,67727792
1899-12-30,67727792
0200-12-10,27525886
1899-12-30,27525886
1899-12-30,27525886
0200-12-10,27525886
1899-12-30,27525886
1899-12-30,27525886
0200-12-10,27525886
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
1899-12-30,29812842
0200-12-10,29812842
1899-12-30,29812842
1899-12-30,29027591
0200-12-10,29027591
1899-12-30,29027591
1899-12-30,29027591
0200-12-10,29027591
1899-12-30,29027591
1899-12-30,29027591
0200-12-10,39528193
1899-12-30,39528193
1899-12-30,39528193
0200-12-10,39528193
1899-12-30,347322107
1899-12-30,29819019
0200-12-10,43928795
1899-12-30,29728328
1899-12-30,28925785
0200-12-10,26917558
1899-12-30,29728294
0200-12-10,22819866
1899-12-30,1009555185
1899-12-30,38724782
0200-12-10,39215652
1899-12-30,54921922
1899-12-30,491393131
0200-12-10,26824280
1899-12-30,42422976
1899-12-30,347322107
0200-12-10,347322107
1899-12-30,29819019
1899-12-30,43928795
0200-12-10,29728328
1899-12-30,28925785
1899-12-30,26917558
0200-12-10,29728294
1899-12-30,22819866
1899-12-30,1009555185
0200-12-10,38724782
1899-12-30,39215652
1899-12-30,54921922
0200-12-10,491393131
1899-12-30,26824280
1899-12-30,42422976
0200-12-10,42422976
1899-12-30,42422976
1899-12-30,29819019
0200-12-10,43928795
1899-12-30,43928795
1899-12-30,28925785
0200-12-10,28925785
1899-12-30,26917558
1899-12-30,26917558
0200-12-10,22819866
1899-12-30,22819866
0200-12-10,38724782
1899-12-30,39215652
1899-12-30,54921922
0200-12-10,491393131
1899-12-30,42422976
1899-12-30,491393131
0200-12-10,42422976
1899-12-30,42422976
1899-12-30,29819019
